Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,42.996,24.672,0.063,0.076,0.023,90.397,177.314,393.05,19.146,102.677,0.621,0.563
1985,35.677,0.168,0.099,13.287,3.121,226.389,271.31,191.791,62.452,120.131,0.221,0.337
1986,2.839,33.34,3.416,2.46,4.675,161.754,370.769,239.386,45.771,7.545,1.761,18.9
1987,12.103,9.766,3.239,0,18.463,183.065,96.984,87.992,68.623,50.945,47.706,16.929
1988,0,0.391,0.499,6.057,13.273,136.63,373.081,228.782,164.729,111.647,7.197,0.618
1989,0.167,0,47.595,0,11.968,142.955,116.511,219.54,118.598,1.112,0.221,30.897
1990,0.187,4.918,1.66,0,46.892,167.328,259.475,334.15,76.625,91.728,0.811,19.847
1991,1.615,5.029,3.523,12.951,1.289,154.408,194.961,126.909,5.555,0.805,11.52,0.12
1992,0,1.787,0.004,0.515,21.846,53.534,79.776,231.664,212.889,33.659,1.865,0.12
1993,0,7.213,26.451,0.206,2.985,83.166,255.032,157.473,142.326,109.365,0.36,12.384
1994,10.638,8.395,14.058,17.493,5.809,193.018,240.813,172.678,162.694,37.635,10.662,0.12
1995,34.499,0.678,48.707,2.235,12.59,119.44,396.967,67.511,202.227,31.292,0.992,5.499
1996,9.591,3.968,10.161,7.201,2.678,33.286,256.748,249.988,216.617,137.42,2.84,0.12
1997,28.092,0,0.044,13.378,4.272,109.405,177.96,207.139,46.847,40.511,150.635,58.019
1998,4.28,1.782,14.007,0.806,2.097,75.024,158.635,195.788,319.134,42.823,70.716,0.12
1999,0.255,34.516,0.004,0,29.867,170.464,196.633,258.226,222.183,107.663,0.221,0.756
2000,0,3.922,0.004,0.016,16.055,127.674,273.619,140.844,37.683,4.138,0.221,0.136
2001,18.416,0.006,22.222,6.565,11.092,205.709,88.178,153.653,12.43,28.019,0.726,0.12
2002,11.662,7.997,7.985,4.598,4.561,222.887,44.144,271.928,126.344,38.744,6.801,0.476
